代號(0), 站名(1), 線名(2), 郵遞區號(3), 地址(4), 緯度(5), 經度(6)


BR01,動物園,文湖線,11656,台北市文山區新光路二段32號,24.998197,121.579338
BR02,木柵,文湖線,11656,台北市文山區木柵路四段135號,24.998241,121.573145
BR03,萬芳社區,文湖線,11653,台北市文山區萬芳路60號,24.998585,121.568102
BR04,萬芳醫院,文湖線,11696,台北市文山區興隆路三段113號,24.999386,121.558152
BR05,辛亥,文湖線,11694,台北市文山區辛亥路四段128號,25.005475,121.557107
BR06,麟光,文湖線,10676,台北市大安區和平東路三段410號,25.018535,121.558791
BR07,六張犁,文湖線,10674,台北市大安區和平東路三段168號,25.023777,121.553115
BR08,科技大樓,文湖線,10667,台北市大安區復興南路二段235號,25.026125,121.543437
BR09,大安,文湖線,10683,台北市大安區信義路四段2號,25.032943,121.543551
BR10,忠孝復興,文湖線,10654,台北市大安區忠孝東路四段47號,25.041629,121.543767
BR11,南京復興,文湖線,10550,台北市松山區南京東路三段253號,25.052319,121.544011
BR12,中山國中,文湖線,10476,台北市中山區復興北路376號,25.060849,121.544227
BR13,松山機場,文湖線,10576,台北市松山區敦化北路338號,25.063,121.551996
BR14,大直,文湖線,10465,台北市中山區北安路534之1號,25.079477,121.546895
BR15,劍南路,文湖線,10464,台北市中山區北安路798號,25.084853,121.555592
BR16,西湖,文湖線,11493,台北市內湖區內湖路一段256號,25.082133,121.567213
BR17,港墘,文湖線,11446,台北市內湖區內湖路一段663號,25.080028,121.575081
BR18,文德,文湖線,11475,台北市內湖區文德路214號,25.078532,121.584761
BR19,內湖,文湖線,11489,台北市內湖區成功路四段186號,25.083661,121.594408
BR20,大湖公園,文湖線,11477,台北市內湖區成功路五段11號,25.083845,121.602141
BR21,葫洲,文湖線,11486,台北市內湖區康寧路三段16號,25.072701,121.607158
BR22,東湖,文湖線,11486,台北市內湖區康寧路三段235號,25.067147,121.611445
BR23,南港軟體園區,文湖線,11568,台北市南港區經貿二路183號,25.059905,121.615953
BR24,南港展覽館,文湖線,11568,台北市南港區南港路一段32號,25.055288,121.6175001
R02,象山,淡水信義線,11080,台北市信義區信義路五段152號B1,25.03283,121.569576
R03,台北101/世貿,淡水信義線,11049,台北市信義區信義路五段20號B1,25.033102,121.563292
R04,信義安和,淡水信義線,10681,台北市大安區信義路四段212之1號B1,25.033326,121.553526
R05,大安,淡水信義線,10683,台北市大安區信義路四段2號,25.032943,121.543551
R06,大安森林公園,淡水信義線,10656,台北市大安區信義路三段100號B1,25.033396,121.534882
R07,東門,淡水信義線,10650,台北市大安區信義路二段166號B1,25.033847,121.528739
R08,中正紀念堂,淡水信義線,10074,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827
R09,台大醫院,淡水信義線,10048,台北市中正區公園路52號B1,25.041256,121.51604
R10,台北車站,淡水信義線,10041,台北市中正區忠孝西路一段49號,25.046255,121.517532
R11,中山,淡水信義線,10444,台北市中山區南京西路16號,25.052685,121.520392
R12,雙連,淡水信義線,10354,台北市大同區民生西路47號,25.057805,121.520627
R13,民權西路,淡水信義線,10365,台北市大同區民權西路72號,25.062905,121.51932
