路線名稱(0), 方向性(1), 站序(2), 站牌名稱(3), 緯度(4), 經度(5)


礁溪線-A線,去程,0,臺鐵礁溪站,24.82726,121.7751
礁溪線-A線,去程,1,礁溪轉運站,24.831482,121.778373
礁溪線-A線,去程,2,礁溪溫泉公園(溫泉遊客中心),24.83099,121.77555
礁溪線-A線,去程,3,湯圍溝公園,24.828967,121.769743
礁溪線-A線,去程,4,跑馬古道,24.82739,121.76266
礁溪線-A線,去程,5,老爺得天公園,24.828383,121.756103
礁溪線-A線,去程,6,五峰旗風景特定區,24.82982,121.751983
礁溪線-A線,去程,7,老爺得天公園,24.828383,121.756103
礁溪線-A線,去程,8,跑馬古道,24.82739,121.76266
礁溪線-A線,去程,9,李寶興圳,24.821418,121.756268
礁溪線-A線,去程,10,林美社區遊客中心,24.81781,121.75015
礁溪線-A線,去程,11,林美石磐步道,24.82016,121.734
礁溪線-A線,去程,12,佛光大學,24.81708,121.730806
礁溪線-A線,去程,13,曼陀羅滴水坊,24.81509,121.727054
礁溪線-A線,去程,14,佛光大學雲起樓,24.81652,121.721965
礁溪線-A線,回程,0,佛光大學雲起樓,24.81652,121.721965
礁溪線-A線,回程,1,曼陀羅滴水坊,24.81509,121.727054
礁溪線-A線,回程,2,佛光大學,24.81708,121.730806
礁溪線-A線,回程,3,林美石磐步道,24.82016,121.734
礁溪線-A線,回程,4,林美社區遊客中心,24.81781,121.75015
礁溪線-A線,回程,5,李寶興圳,24.821418,121.756268
礁溪線-A線,回程,6,跑馬古道,24.82739,121.76266
礁溪線-A線,回程,7,老爺得天公園,24.828383,121.756103
礁溪線-A線,回程,8,五峰旗風景特定區,24.82982,121.751983
礁溪線-A線,回程,9,老爺得天公園,24.828383,121.756103
礁溪線-A線,回程,10,跑馬古道,24.82739,121.76266
礁溪線-A線,回程,11,湯圍溝公園,24.828967,121.769743
礁溪線-A線,回程,12,礁溪溫泉公園(溫泉遊客中心),24.83099,121.77555
礁溪線-A線,回程,13,礁溪轉運站,24.831482,121.778373
礁溪線-A線,回程,14,臺鐵礁溪站,24.82726,121.7751
冬山河線,去程,0,羅東運動公園,24.68208,121.75154
冬山河線,去程,1,北城公園,24.67913,121.75586
冬山河線,去程,2,羅東運動公園自行車道（羅東高中）,24.68028,121.76196
冬山河線,去程,3,羅東夜市（公正國小）,24.6795,121.76653
冬山河線,去程,4,羅東林業文化園區,24.680421,121.771719
冬山河線,去程,5,羅東轉運站(羅東後火車後站),24.67806,121.77533
冬山河線,去程,6,慈濟精舍,24.68275,121.78262
冬山河線,去程,7,五結市中心,24.68457,121.79792
冬山河線,去程,8,冬山河親水公園,24.6724,121.81145
冬山河線,去程,9,利澤老街,24.66831,121.82198
冬山河線,去程,10,新水休閒養殖漁業示範區,24.678812,121.8273
冬山河線,去程,11,國立傳統藝術中心,24.68628,121.82428
冬山河線,回程,0,國立傳統藝術中心,24.68628,121.82428
冬山河線,回程,1,新水休閒養殖漁業示範區,24.678812,121.8273
冬山河線,回程,2,利澤老街,24.66831,121.82198
冬山河線,回程,3,冬山河親水公園,24.6724,121.81145
冬山河線,回程,4,五結市中心,24.68457,121.79792
