序號, 樂透1, 樂透2, 樂透3, 樂透4, 樂透5, 樂透6



1,3,1,37,32,10,2
2,25,11,14,32,36,20
3,20,7,5,33,19,22
4,24,5,2,11,27,22
5,11,17,37,21,8,16
6,24,3,5,33,4,18
7,24,26,28,22,37,21
8,4,15,13,37,25,35
9,31,29,24,10,11,7
10,25,16,28,6,13,30
11,16,5,12,36,31,1
12,4,28,1,26,38,24
13,12,35,36,16,28,23
14,35,26,16,6,3,38
15,20,37,17,28,29,3
16,37,16,6,19,1,20
17,34,28,37,10,18,32
18,32,34,4,1,16,36
19,33,18,10,6,36,38
20,33,19,35,34,11,36
21,38,9,15,21,35,12
22,27,31,9,33,36,12
23,11,7,23,6,1,36
24,35,38,18,13,11,26
25,7,17,12,26,15,25
26,31,5,2,24,28,17
27,22,2,29,6,26,5
28,26,34,36,24,10,32
29,14,36,2,21,29,22
30,4,32,26,2,37,24
31,21,37,8,5,33,18
32,11,21,28,15,31,36
33,9,32,21,22,38,8
34,20,10,35,9,17,13
35,11,28,14,30,18,20
36,11,18,25,23,36,29
37,29,19,31,33,34,38
38,2,37,34,4,7,25
39,7,2,36,4,18,9
40,15,16,1,27,36,32
41,8,22,30,11,37,27
42,31,38,8,1,3,21
43,26,20,29,4,28,21
44,10,9,13,27,16,36
45,3,29,11,14,35,17
46,9,6,21,3,19,30
47,12,35,6,22,32,19
48,21,25,6,29,15,2
49,21,20,36,22,34,11
50,6,11,21,34,36,9
51,23,32,26,22,11,6
52,6,11,31,33,36,3
53,4,34,13,7,32,27
54,20,28,27,2,34,31
55,3,22,17,28,37,4
56,8,37,5,28,32,17
57,14,21,25,37,12,31
58,18,28,11,21,35,4
59,21,11,33,1,27,34
60,38,28,2,30,11,23
61,6,30,34,25,24,31
62,33,22,7,34,12,35
63,3,8,25,9,21,4
64,35,7,21,4,5,18
65,12,26,3,37,11,32
66,1,32,4,13,10,23
67,29,4,25,33,10,9
68,20,37,5,9,38,24
69,6,23,5,18,31,13
70,36,7,24,38,13,4
71,24,8,11,15,38,3
72,6,36,27,14,23,3
73,15,9,34,1,13,38
74,31,29,15,32,4,28
75,22,37,29,18,16,7
76,36,23,19,13,28,16
77,22,25,29,20,36,30
78,38,19,35,16,9,28
79,18,19,22,34,10,28
80,17,30,18,28,20,27
81,27,14,16,9,17,34
82,30,18,8,28,33,17
83,5,16,4,20,27,23
84,10,5,31,1,24,34
85,17,28,5,1,24,15
86,21,33,17,26,27,3
87,17,38,1,34,24,15
88,24,29,28,37,34,36
89,37,11,27,31,21,34
90,28,38,9,10,26,36
91,8,24,16,14,36,4
92,35,5,22,14,30,10
93,8,38,23,32,12,29
94,16,34,13,9,20,18
95,1,5,24,21,16,33
96,8,12,36,15,18,35
97,3,38,9,31,8,17
98,29,31,25,11,23,27
99,24,3,33,30,21,27
100,16,29,5,36,10,28
101,31,29,23,35,13,27
102,18,14,13,20,28,6
103,11,19,23,3,34,29
104,9,31,35,34,4,32
105,35,4,5,29,22,28
106,36,3,9,29,16,12
107,12,21,17,37,25,26
108,20,36,4,34,32,6
109,30,33,12,37,23,16
110,3,38,13,33,31,26
111,19,8,20,38,3,37
112,15,29,1,6,35,30
