交易日期(0), 作物代號(1), 作物名稱(2), 市場代號(3), 市場名稱(4), 上價(5), 中價(6), 下價(7), 平均價(8), 交易量(9)

107.06.08,11,椰子,104,台北二,29.2,23.3,18.1,23.4,1839
107.06.08,42,楊梅,104,台北二,62,62,62,62,192
107.06.08,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,90
107.06.08,51,百香果-改良種,104,台北二,120.6,70.4,27.1,71.8,621
107.06.08,70,小番茄-其他,104,台北二,28.3,14.7,12.9,17.1,1312
107.06.08,71,小番茄-一般,104,台北二,35,35,35,35,18
107.06.08,72,小番茄-聖女,104,台北二,37.7,28.9,19.6,28.8,3782
107.06.08,74,小番茄-玉女,104,台北二,159.7,90.3,39.6,94,2322
107.06.08,811,火龍果-白肉,104,台北二,55.2,35.8,31,38.7,2122
107.06.08,812,火龍果-紅肉,104,台北二,65,40.9,28,43.1,9399
107.06.08,839,櫻桃-進口,104,台北二,333.3,278,251.9,283.8,245
107.06.08,859,榴槤-進口,104,台北二,185,94.4,94.4,112.6,300
107.06.08,91,其他,104,台北二,60,50,15,45,30
107.06.08,919,其他-進口,104,台北二,94.5,94.5,94.5,94.5,24
107.06.08,A0,香蕉-其他,104,台北二,15,14.7,12.2,14.3,311
107.06.08,A1,香蕉,104,台北二,17.7,13.3,8.5,13.2,23685
107.06.08,A2,香蕉-芭蕉,104,台北二,38.9,23.8,13.2,24.7,3653
107.06.08,A3,香蕉-旦蕉,104,台北二,33.4,15.5,15,19,319
107.06.08,B0,鳳梨-其他,104,台北二,35,35,35,35,140
107.06.08,B2,鳳梨-金鑽鳳梨,104,台北二,26.2,16,11,17,37068
107.06.08,B6,鳳梨-甜蜜蜜,104,台北二,31.1,20.9,12.8,21.3,3070
107.06.08,C2,茂谷柑,104,台北二,13,8.7,8,9.4,500
107.06.08,C9,椪柑-進口,104,台北二,533.4,528.6,500,523.8,28
107.06.08,E1,甜橙-柳橙,104,台北二,18.4,15.4,10,14.9,285
107.06.08,E9,甜橙-進口,104,台北二,44,33.3,33.3,35.5,3330
107.06.08,F1,雜柑-檸檬,104,台北二,35.6,27.5,19,27.4,1645
107.06.08,F4,雜柑-桔子,104,台北二,55,39.8,33.1,41.5,202
107.06.08,F5,雜柑-無子檸檬,104,台北二,53.9,36,21.3,36.6,1566
107.06.08,FA1,黃秋葵,104,台北二,65.9,28.3,8.9,31.9,1930
107.06.08,FB11,花椰菜-青梗,104,台北二,61.4,25.8,18.5,31.4,1273
107.06.08,FC1,胡瓜-黑刺,104,台北二,17.6,10.5,4.4,10.7,5569
107.06.08,FD1,花胡瓜,104,台北二,29.2,19.3,10.5,19.5,11765
107.06.08,FE0,冬瓜-其他,104,台北二,12,12,12,12,20
107.06.08,FE1,冬瓜-白皮,104,台北二,6.9,5.2,3.8,5.3,7918
107.06.08,FF0,絲瓜-其他,104,台北二,22.8,20.8,17.4,20.5,678
107.06.08,FF1,絲瓜-絲瓜,104,台北二,19,12.1,6.2,12.3,13522
107.06.08,FF2,絲瓜-角瓜,104,台北二,22.2,17.3,16,18,163
107.06.08,FG0,苦瓜-其他,104,台北二,16,11.1,6.9,11.2,2657
107.06.08,FG1,苦瓜-白大米,104,台北二,23.6,13.6,7,14.3,9118
107.06.08,FG2,苦瓜-青大米,104,台北二,25,17,8,16.8,62
107.06.08,FG3,苦瓜-山苦瓜,104,台北二,33,32,30,31.8,25
