編號, 通話開始日期時間, 通話結束日期時間, 資費方案, 網內/網外


1,2019-12-20 9:0:0,2019-12-20 9:0:36,183型,網內
2,2019-12-20 9:0:0,2019-12-20 9:2:23,383型,網內
3,2019-12-20 9:0:1,2019-12-20 9:0:21,383型,網外
4,2019-12-20 9:0:1,2019-12-20 9:3:42,583型,網內
5,2019-12-20 9:0:1,2019-12-20 9:0:20,183型,網外
6,2019-12-20 9:0:1,2019-12-20 9:2:43,583型,網外
7,2019-12-20 9:0:2,2019-12-20 9:0:26,183型,網外
8,2019-12-20 9:0:2,2019-12-20 9:4:13,983型,網內
9,2019-12-20 9:0:2,2019-12-20 9:0:43,983型,網外
10,2019-12-20 9:0:2,2019-12-20 9:4:40,1683型,網內
11,2019-12-20 9:0:2,2019-12-20 9:1:15,1683型,網外
12,2019-12-20 9:0:2,2019-12-20 9:1:11,183型,網內
13,2019-12-20 9:0:3,2019-12-20 9:1:56,583型,網內
14,2019-12-20 9:0:3,2019-12-20 9:0:4,583型,網內
15,2019-12-20 9:0:3,2019-12-20 9:3:10,983型,網內
16,2019-12-20 9:0:3,2019-12-20 9:3:55,183型,網外
17,2019-12-20 9:0:3,2019-12-20 9:3:47,183型,網外
18,2019-12-20 9:0:3,2019-12-20 9:0:24,183型,網外
19,2019-12-20 9:0:4,2019-12-20 9:3:40,983型,網外
20,2019-12-20 9:0:4,2019-12-20 9:1:5,383型,網外
21,2019-12-20 9:0:5,2019-12-20 9:0:59,383型,網外
22,2019-12-20 9:0:5,2019-12-20 9:3:31,383型,網外
23,2019-12-20 9:0:5,2019-12-20 9:2:57,383型,網內
24,2019-12-20 9:0:5,2019-12-20 9:2:14,583型,網內
25,2019-12-20 9:0:5,2019-12-20 9:3:13,183型,網內
26,2019-12-20 9:0:5,2019-12-20 9:4:19,583型,網外
27,2019-12-20 9:0:6,2019-12-20 9:1:21,583型,網外
28,2019-12-20 9:0:6,2019-12-20 9:4:0,183型,網內
29,2019-12-20 9:0:6,2019-12-20 9:3:5,983型,網外
30,2019-12-20 9:0:6,2019-12-20 9:2:2,383型,網內
31,2019-12-20 9:0:6,2019-12-20 9:4:46,383型,網內
32,2019-12-20 9:0:6,2019-12-20 9:4:16,983型,網外
33,2019-12-20 9:0:6,2019-12-20 9:4:26,583型,網外
34,2019-12-20 9:0:7,2019-12-20 9:4:48,583型,網內
35,2019-12-20 9:0:7,2019-12-20 9:2:21,583型,網內
36,2019-12-20 9:0:7,2019-12-20 9:4:17,983型,網內
37,2019-12-20 9:0:7,2019-12-20 9:2:55,983型,網外
38,2019-12-20 9:0:7,2019-12-20 9:4:34,183型,網外
39,2019-12-20 9:0:7,2019-12-20 9:5:3,183型,網外
40,2019-12-20 9:0:7,2019-12-20 9:4:8,183型,網外
41,2019-12-20 9:0:7,2019-12-20 9:2:11,1683型,網內
42,2019-12-20 9:0:8,2019-12-20 9:3:6,183型,網外
43,2019-12-20 9:0:8,2019-12-20 9:4:26,1683型,網內
44,2019-12-20 9:0:9,2019-12-20 9:3:33,583型,網內
45,2019-12-20 9:0:9,2019-12-20 9:3:10,583型,網內
46,2019-12-20 9:0:9,2019-12-20 9:4:17,1683型,網內
