用戶編號, 是否營業用電, 是否夏月用電, 用電度數


C001,False,True,1600
C002,False,True,800
C003,False,True,700
C004,False,True,550
C005,False,True,500
C006,False,True,470
C007,False,True,330
C008,False,True,250
C009,False,True,120
C010,False,True,55
C011,False,False,1600
C012,False,False,800
C013,False,False,700
C014,False,False,550
C015,False,False,500
C016,False,False,470
C017,False,False,330
C018,False,False,250
C019,False,False,120
C020,False,False,55
B001,True,True,1600
B002,True,True,800
B003,True,True,700
B004,True,True,550
B005,True,True,500
B006,True,True,470
B007,True,True,330
B008,True,True,250
B009,True,True,120
B010,True,True,55
B011,True,False,1600
B012,True,False,800
B013,True,False,700
B014,True,False,550
B015,True,False,500
B016,True,False,470
B017,True,False,330
B018,True,False,250
B019,True,False,120
B020,True,False,55
